date,thread_id,title,messages,url
2026-01-08,T-019b9fb4-ee79-767a-9a2b-c82bb95161b0,Fix SvelteComponentTyped import type usage,34,https://ampcode.com/threads/T-019b9fb4-ee79-767a-9a2b-c82bb95161b0
2026-01-08,T-019b9fb6-21ad-744c-98c6-e670783e28cd,Add tsconfig.json path resolution support for tsgo,88,https://ampcode.com/threads/T-019b9fb6-21ad-744c-98c6-e670783e28cd
2026-01-08,T-019b9fba-54c0-75eb-b24c-602f643d9a41,Test on real SvelteKit project with node_modules,34,https://ampcode.com/threads/T-019b9fba-54c0-75eb-b24c-602f643d9a41
2026-01-08,T-019b9fbb-c883-716d-9229-0623f497825a,Benchmark performance against official svelte-check,53,https://ampcode.com/threads/T-019b9fbb-c883-716d-9229-0623f497825a
2026-01-08,T-019b9fc7-be1e-7759-98ea-ad8aac2177fc,Transform Svelte store auto-subscriptions syntax,82,https://ampcode.com/threads/T-019b9fc7-be1e-7759-98ea-ad8aac2177fc
2026-01-08,T-019b9fcb-eb82-742f-b6ac-a5f21411a3ba,Add SvelteKit virtual module type stubs,64,https://ampcode.com/threads/T-019b9fcb-eb82-742f-b6ac-a5f21411a3ba
2026-01-08,T-019b9ff3-ba69-77ca-8097-e33faadfb046,Handle $lib path alias resolution,22,https://ampcode.com/threads/T-019b9ff3-ba69-77ca-8097-e33faadfb046
2026-01-09,T-019ba378-d41f-755a-a33b-0ab15b692946,Fix SvelteKit ./$types imports not resolving,295,https://ampcode.com/threads/T-019ba378-d41f-755a-a33b-0ab15b692946
2026-01-09,T-019ba390-ad1b-775b-8a54-0c7d9eb240ee,Fix snippet parameter type annotations in transformer,52,https://ampcode.com/threads/T-019ba390-ad1b-775b-8a54-0c7d9eb240ee
2026-01-09,T-019ba393-05d3-7356-ba8b-86a01036fcaa,Fix duplicate default export errors in Svelte transformer,197,https://ampcode.com/threads/T-019ba393-05d3-7356-ba8b-86a01036fcaa
2026-01-09,T-019ba39e-5458-72f8-88d2-b40672ac1040,Continuing semantic TypeScript error fixes svelte_check_zig,189,https://ampcode.com/threads/T-019ba39e-5458-72f8-88d2-b40672ac1040
2026-01-09,T-019ba3a8-3c42-7638-b4cd-5471b2042bb0,Filter Svelte type import conflicts in module scripts,60,https://ampcode.com/threads/T-019ba3a8-3c42-7638-b4cd-5471b2042bb0
2026-01-09,T-019ba3ad-5192-75d8-b8f4-71bf2d05d574,Fix bind:this DOM refs typed as never,313,https://ampcode.com/threads/T-019ba3ad-5192-75d8-b8f4-71bf2d05d574
2026-01-09,T-019ba3ce-f49e-72ea-a8b0-47748485d986,Fix import name collision with local declarations,62,https://ampcode.com/threads/T-019ba3ce-f49e-72ea-a8b0-47748485d986
2026-01-09,T-019ba3d1-3c35-737f-a8e4-8944b00d626a,Fix left-hand side assignment errors task 824,26,https://ampcode.com/threads/T-019ba3d1-3c35-737f-a8e4-8944b00d626a
2026-01-09,T-019ba3d2-53d7-76a5-bd2b-720c812e89f8,Fix store subscription type inference undefined,24,https://ampcode.com/threads/T-019ba3d2-53d7-76a5-bd2b-720c812e89f8
2026-01-09,T-019ba3d3-59e1-7648-b654-e2b41596eaac,Fix ServerStatus type missing properties,16,https://ampcode.com/threads/T-019ba3d3-59e1-7648-b654-e2b41596eaac
2026-01-09,T-019ba3d3-9fa2-7164-b155-d6283161d37d,Complexity comparison svelte-check vs tsc rewrite,4,https://ampcode.com/threads/T-019ba3d3-9fa2-7164-b155-d6283161d37d
2026-01-09,T-019ba3d4-1039-7215-85bd-4e741a15131b,Fix $derived/$state nullability type narrowing,22,https://ampcode.com/threads/T-019ba3d4-1039-7215-85bd-4e741a15131b
2026-01-09,T-019ba3d5-0ba3-7573-97bd-1a52280dd161,Fix module script exports in svelte files,291,https://ampcode.com/threads/T-019ba3d5-0ba3-7573-97bd-1a52280dd161
2026-01-09,T-019ba3ed-0b32-7458-afa5-ac7185459985,Fix false positives in svelte-check-zig,70,https://ampcode.com/threads/T-019ba3ed-0b32-7458-afa5-ac7185459985
2026-01-09,T-019ba3f0-ed01-7166-bcb5-f3410bcc7a73,Fix false positive CSS warnings from URL parsing,119,https://ampcode.com/threads/T-019ba3f0-ed01-7166-bcb5-f3410bcc7a73
2026-01-09,T-019ba415-4613-77a9-a154-a51a342fbaa2,Have oracle review codebase,4,https://ampcode.com/threads/T-019ba415-4613-77a9-a154-a51a342fbaa2
2026-01-09,T-019ba415-c317-716a-ad5a-6195e7ee414a,Oracle review codebase performance and svelte-check,56,https://ampcode.com/threads/T-019ba415-c317-716a-ad5a-6195e7ee414a
2026-01-09,T-019ba41b-377c-70de-a109-6a56f4d62da6,Disable CSS lint rules for Tailwind,1,https://ampcode.com/threads/T-019ba41b-377c-70de-a109-6a56f4d62da6
2026-01-09,T-019ba42a-1981-74f9-b04f-bd9324211b05,Collapse dual severity scan into single pass,18,https://ampcode.com/threads/T-019ba42a-1981-74f9-b04f-bd9324211b05
2026-01-09,T-019ba42a-cbf3-73d4-ba28-86bfe8d0c70b,Normalize hyphenated output values for svelte-check,30,https://ampcode.com/threads/T-019ba42a-cbf3-73d4-ba28-86bfe8d0c70b
2026-01-09,T-019ba42b-f783-7059-bb19-b7fb630a6d34,Implement machine-verbose NDJSON output format,32,https://ampcode.com/threads/T-019ba42b-f783-7059-bb19-b7fb630a6d34
2026-01-09,T-019ba42d-80c9-77bb-aeea-a5ac6b3dd4c6,Implement diagnostic-sources flag gating,50,https://ampcode.com/threads/T-019ba42d-80c9-77bb-aeea-a5ac6b3dd4c6
2026-01-09,T-019ba364-61a4-75ee-a329-6f0bfb6c6dec,Analyze 460 semantic TypeScript errors in svelte-check-zig,102,https://ampcode.com/threads/T-019ba364-61a4-75ee-a329-6f0bfb6c6dec
2026-01-09,T-019ba2db-967a-7728-9a8c-cf83a5c526ab,Audit svelte-check-rs test fixtures for unported cases,164,https://ampcode.com/threads/T-019ba2db-967a-7728-9a8c-cf83a5c526ab
2026-01-09,T-019ba2d2-aefa-74a9-89b1-7f787322bf5c,Implement missing a11y rules from svelte-check-rs,122,https://ampcode.com/threads/T-019ba2d2-aefa-74a9-89b1-7f787322bf5c
2026-01-09,T-019ba2bd-365b-70ca-a877-31c0b5b7a93a,Verify svelte-ignore pragma functionality,253,https://ampcode.com/threads/T-019ba2bd-365b-70ca-a877-31c0b5b7a93a
2026-01-09,T-019ba2ba-91d6-76d9-a472-046e4c377660,Match svelte-check strictness settings,40,https://ampcode.com/threads/T-019ba2ba-91d6-76d9-a472-046e4c377660
2026-01-09,T-019ba1bd-31a9-7693-b896-ac2550a8c643,Support named exports from svelte files,86,https://ampcode.com/threads/T-019ba1bd-31a9-7693-b896-ac2550a8c643
2026-01-09,T-019ba14b-8aba-747b-9ac8-a43f18af5f50,Fix duplicate Snippet identifier in transformer,72,https://ampcode.com/threads/T-019ba14b-8aba-747b-9ac8-a43f18af5f50
2026-01-09,T-019ba144-1f6b-722d-b194-35c7d2d6387e,Verify and close test fixtures porting task,84,https://ampcode.com/threads/T-019ba144-1f6b-722d-b194-35c7d2d6387e
2026-01-09,T-019ba11f-1e4d-74d8-90dd-e7d67dd07e0f,Verify workspace monorepo package import resolution,62,https://ampcode.com/threads/T-019ba11f-1e4d-74d8-90dd-e7d67dd07e0f
2026-01-09,T-019ba11a-4df9-731f-88e3-9a9fcc58a13c,Refactor tsgo runner for project context execution,28,https://ampcode.com/threads/T-019ba11a-4df9-731f-88e3-9a9fcc58a13c
2026-01-09,T-019ba112-7947-702d-a32c-5a52aa6ccbe0,Add import.meta.env ambient type declaration,42,https://ampcode.com/threads/T-019ba112-7947-702d-a32c-5a52aa6ccbe0
2026-01-09,T-019ba110-2b0d-759c-a82e-f04fef46c9ec,Reduce false positives to under 100,20,https://ampcode.com/threads/T-019ba110-2b0d-759c-a82e-f04fef46c9ec
2026-01-08,T-019b9ee2-7719-746b-86f7-5ecfcc8f2e46,Svelte-check repo location and performance issues,68,https://ampcode.com/threads/T-019b9ee2-7719-746b-86f7-5ecfcc8f2e46
